Acceleration,Cylinders,Displacement,Horsepower,Miles_per_Gallon,Name,Origin,Weight_in_lbs,Year
12.0,8,307.0,130,18.0,chevrolet chevelle malibu,USA,3504,1970-01-01
11.5,8,350.0,165,15.0,buick skylark 320,USA,3693,1970-01-01
11.0,8,318.0,150,18.0,plymouth satellite,USA,3436,1970-01-01
12.0,8,304.0,150,16.0,amc rebel sst,USA,3433,1970-01-01
10.5,8,302.0,140,17.0,ford torino,USA,3449,1970-01-01
10.0,8,429.0,198,15.0,ford galaxie 500,USA,4341,1970-01-01
9.0,8,454.0,220,14.0,chevrolet impala,USA,4354,1970-01-01
8.5,8,440.0,215,14.0,plymouth fury iii,USA,4312,1970-01-01
10.0,8,455.0,225,14.0,pontiac catalina,USA,4425,1970-01-01
8.5,8,390.0,190,15.0,amc ambassador dpl,USA,3850,1970-01-01
17.5,4,133.0,115,,citroen ds-21 pallas,Europe,3090,1970-01-01
11.5,8,350.0,165,,chevrolet chevelle concours (sw),USA,4142,1970-01-01
11.0,8,351.0,153,,ford torino (sw),USA,4034,1970-01-01
10.5,8,383.0,175,,plymouth satellite (sw),USA,4166,1970-01-01
11.0,8,360.0,175,,amc rebel sst (sw),USA,3850,1970-01-01
10.0,8,383.0,170,15.0,dodge challenger se,USA,3563,1970-01-01
8.0,8,340.0,160,14.0,plymouth 'cuda 340,USA,3609,1970-01-01
8.0,8,302.0,140,,ford mustang boss 302,USA,3353,1970-01-01
9.5,8,400.0,150,15.0,chevrolet monte carlo,USA,3761,1970-01-01
10.0,8,455.0,225,14.0,buick estate wagon (sw),USA,3086,1970-01-01
15.0,4,113.0,95,24.0,toyota corona mark ii,Japan,2372,1970-01-01
15.5,6,198.0,95,22.0,plymouth duster,USA,2833,1970-01-01
15.5,6,199.0,97,18.0,amc hornet,USA,2774,1970-01-01
16.0,6,200.0,85,21.0,ford maverick,USA,2587,1970-01-01
14.5,4,97.0,88,27.0,datsun pl510,Japan,2130,1970-01-01
20.5,4,97.0,46,26.0,vw 1131 deluxe sedan,Europe,1835,1970-01-01
17.5,4,110.0,87,25.0,peugeot 504,Europe,2672,1970-01-01
