,year,lifeExp,gdpPercap,population,income_groups,country,continent,region
0,1800,28.21,683,3280000,low_income,Afghanistan,Asia,South Asia
32781,1800,29.57,1619,31295641,upper_middle_income,Russia,Europe,Europe Central Asia
10704,1800,29.9,755,150000,upper_middle_income,Dominican Republic,Americas,America
35234,1800,35.5,1537,2147197,upper_middle_income,Serbia,Europe,Europe Central Asia
8251,1800,32.0,1095,1206000,upper_middle_income,Colombia,Americas,America
9812,1800,38.37,1827,18000000,high_income,Germany,Europe,Europe Central Asia
33673,1800,25.2,563,1009886,lower_middle_income,Senegal,Africa,Sub Saharan Africa
13603,1800,38.65,3886,10750000,high_income,United Kingdom,Europe,Europe Central Asia
29882,1800,25.8,1156,13119841,lower_middle_income,Pakistan,Asia,South Asia
6244,1800,30.0,480,479444,low_income,Central African Republic,Africa,Sub Saharan Africa
37241,1800,31.1,1255,1250000,low_income,Syria,Asia,Middle East North Africa
42147,1800,24.3,662,27791,lower_middle_income,Vanuatu,Asia,East Asia Pacific
1338,1800,34.0,582,413326,upper_middle_income,Armenia,Europe,Europe Central Asia
2899,1800,31.0,676,636559,low_income,Benin,Africa,Sub Saharan Africa
40586,1800,36.6,864,11215490,lower_middle_income,Ukraine,Europe,Europe Central Asia
24530,1800,32.65,953,42378,upper_middle_income,Maldives,Asia,South Asia
18955,1800,34.2,1298,300000,upper_middle_income,Jamaica,Americas,America
31220,1800,35.9,1049,9000000,high_income,Poland,Europe,Europe Central Asia
12265,1800,29.7,592,12032589,low_income,Ethiopia,Africa,Sub Saharan Africa
35011,1800,29.4,786,988951,low_income,Somalia,Africa,Sub Saharan Africa
8474,1800,32.1,788,56346,lower_middle_income,Comoros,Africa,Sub Saharan Africa
32335,1800,30.8,1242,14092,high_income,Qatar,Asia,Middle East North Africa
11150,1800,32.9,599,500000,upper_middle_income,Ecuador,Americas,America
2676,1800,40.0,2697,3250000,high_income,Belgium,Europe,Europe Central Asia
18732,1800,29.69,2794,19000000,high_income,Italy,Europe,Europe Central Asia
24753,1800,26.9,1517,5100000,upper_middle_income,Mexico,Americas,America
40363,1800,25.3,525,2500000,low_income,Uganda,Africa,Sub Saharan Africa
3122,1800,29.2,543,1665421,low_income,Burkina Faso,Africa,Sub Saharan Africa
21854,1800,31.1,902,313543,low_income,Liberia,Africa,Sub Saharan Africa
35680,1800,31.0,962,22731,lower_middle_income,Sao Tome and Principe,Africa,Sub Saharan Africa
7805,1800,31.6,549,5163819,low_income,"Congo, Dem. Rep.",Africa,Sub Saharan Africa
25199,1800,36.1,781,391865,upper_middle_income,North Macedonia,Europe,Europe Central Asia
18286,1800,42.85,1048,61428,high_income,Iceland,Europe,Europe Central Asia
10035,1800,29.9,851,22848,lower_middle_income,Djibouti,Africa,Middle East North Africa
33450,1800,31.4,586,3994154,lower_middle_income,Sudan,Africa,Sub Saharan Africa
14049,1800,28.0,788,2016034,lower_middle_income,Ghana,Africa,Sub Saharan Africa
29436,1800,34.05,752,200000,high_income,New Zealand,Asia,East Asia Pacific
40140,1800,32.2,636,3000000,low_income,Tanzania,Africa,Sub Saharan Africa
42370,1800,25.4,1585,47300,upper_middle_income,Samoa,Asia,East Asia Pacific
40809,1800,32.9,2137,55000,high_income,Uruguay,Americas,America
1115,1800,33.2,1725,534000,upper_middle_income,Argentina,Americas,America
18509,1800,32.0,2842,209954,high_income,Israel,Asia,Middle East North Africa
35457,1800,26.67,574,1027378,low_income,South Sudan,Africa,Sub Saharan Africa
8028,1800,32.7,651,314465,lower_middle_income,"Congo, Rep.",Africa,Sub Saharan Africa
31443,1800,26.0,283,4345000,low_income,North Korea,Asia,East Asia Pacific
12042,1800,36.14,1062,334136,high_income,Estonia,Europe,Europe Central Asia
16725,1800,29.0,717,500000,low_income,Haiti,Americas,America
26760,1800,32.0,597,382696,lower_middle_income,Mauritania,Africa,Sub Saharan Africa
13826,1800,31.87,615,1072178,upper_middle_income,Georgia,Europe,Europe Central Asia
29659,1800,32.3,1036,300000,high_income,Oman,Asia,Middle East North Africa
20516,1800,24.9,624,17876,lower_middle_income,Kiribati,Asia,East Asia Pacific
22969,1800,28.9,1438,778655,high_income,Lithuania,Europe,Europe Central Asia
21631,1800,29.7,1239,300000,upper_middle_income,Lebanon,Asia,Middle East North Africa
20293,1800,35.0,435,2090000,lower_middle_income,Cambodia,Asia,East Asia Pacific
13380,1800,30.6,442,158227,upper_middle_income,Gabon,Africa,Sub Saharan Africa
41255,1800,26.93,568,1919159,lower_middle_income,Uzbekistan,Asia,Europe Central Asia
43262,1800,33.7,984,1085814,lower_middle_income,Zimbabwe,Africa,Sub Saharan Africa
223,1800,26.98,700,1567028,lower_middle_income,Angola,Africa,Sub Saharan Africa
12934,1800,33.97,2080,29000000,high_income,France,Europe,Europe Central Asia
30551,1800,30.9,1082,2500000,lower_middle_income,Philippines,Asia,East Asia Pacific
20070,1800,23.94,575,530343,lower_middle_income,Kyrgyz Republic,Asia,Europe Central Asia
23415,1800,33.0,850,590588,high_income,Latvia,Europe,Europe Central Asia
19624,1800,26.2,1291,2041282,upper_middle_income,Kazakhstan,Asia,Europe Central Asia
34342,1800,25.1,831,794264,low_income,Sierra Leone,Africa,Sub Saharan Africa
9143,1800,32.2,719,272000,upper_middle_income,Cuba,Americas,America
41701,1800,32.2,1247,1000000,upper_middle_income,Venezuela,Americas,America
1784,1800,34.05,925,200000,high_income,Australia,Asia,East Asia Pacific
2007,1800,34.4,2091,3000000,high_income,Austria,Europe,Europe Central Asia
41478,1800,25.99,949,25781,upper_middle_income,St. Vincent and the Grenadines,Americas,America
23638,1800,33.1,808,2500000,lower_middle_income,Morocco,Africa,Middle East North Africa
19847,1800,25.5,967,2574000,lower_middle_income,Kenya,Africa,Sub Saharan Africa
