order,Format,Color
1,LP/EP,#2A5784
2,Vinyl Single,#43719F
3,8 - Track,#5B8DB8
4,Cassette,#7AAAD0
5,Cassette Single,#9BC7E4
6,Other Tapes,#BADDF1
7,Kiosk,#E1575A
8,CD,#EE7423
9,CD Single,#F59D3D
10,SACD,#FFC686
11,DVD Audio,#9D7760
12,Music Video (Physical),#F1CF63
13,Download Album,#7C4D79
14,Download Single,#9B6A97
15,Ringtones & Ringbacks,#BE89AC
16,Download Music Video,#D5A5C4
17,Other Digital,#EFC9E6
18,Synchronization,#BBB1AC
19,Paid Subscription,#24693D
20,On-Demand Streaming (Ad-Supported),#398949
21,Other Ad-Supported Streaming,#61AA57
22,SoundExchange Distributions,#7DC470
23,Limited Tier Paid Subscription,#B4E0A7
