date,min,max,pressure
2020-08-02,33.39,46.28,996.6
2020-08-03,33.0,44.11,997.5
2020-08-04,33.61,42.11,995.0
2020-08-05,33.0,41.22,992.8
2020-08-06,32.0,38.72,992.8
2020-08-07,33.5,40.39,993.4
2020-08-08,32.0,41.61,993.5
2020-08-09,32.39,39.11,994.1
2020-08-10,33.89,40.0,994.9
2020-08-11,34.89,44.28,995.6
2020-08-12,34.61,43.78,996.8
2020-08-13,34.5,39.11,997.3
2020-08-15,32.0,34.0,
2020-08-16,33.0,42.78,993.0
2020-08-17,33.0,41.28,994.9
2020-08-18,33.72,40.11,994.8
2020-08-19,33.0,40.22,995.0
2020-08-20,34.61,44.89,995.4
2020-08-22,33.78,42.5,996.5
2020-08-23,32.72,43.39,997.1
2020-08-24,32.5,42.61,997.0
2020-08-25,32.72,41.72,997.2
2020-08-26,32.5,40.39,998.6
2020-08-27,31.61,40.61,999.0
2020-08-28,33.0,42.61,998.7
2020-08-29,33.39,42.11,998.5
2020-08-30,34.0,41.61,999.5
2020-08-31,35.0,41.22,1000.0
2020-09-01,31.5,44.72,1001.5
2020-09-02,32.0,43.22,1003.9
2020-09-03,31.0,42.28,1006.4
2020-09-04,31.0,41.72,1006.5
2020-09-05,29.61,43.5,1005.0
2020-09-06,30.22,43.61,1003.9
2020-09-07,30.0,41.22,1004.1
2020-09-08,29.0,43.0,1005.0
2020-09-09,30.0,40.22,1005.2
2020-09-10,30.72,37.22,1003.7
2020-09-11,31.61,39.28,1002.1
2020-09-12,30.89,42.39,1001.7
2020-09-13,30.28,46.11,1003.4
2020-09-14,30.78,42.0,1004.2
2020-09-15,31.72,42.11,1004.0
2020-09-16,30.61,42.28,1003.7
2020-09-17,30.0,38.78,1004.6
2020-09-18,29.0,41.89,1006.1
2020-09-19,28.61,42.39,1005.3
2020-09-20,28.0,41.78,1003.2
2020-09-21,28.72,37.61,1002.6
2020-09-22,27.89,40.72,1002.5
2020-09-23,25.61,42.5,1003.1
2020-09-24,27.5,43.22,1003.1
2020-09-25,28.0,41.61,1004.2
2020-09-26,29.61,41.22,1004.6
2020-09-27,28.5,39.0,1004.1
2020-09-28,25.61,39.0,1005.0
2020-09-29,27.61,40.0,1005.9
2020-09-30,28.0,38.78,1005.6
2020-10-01,28.72,41.28,1005.7
2020-10-02,28.72,39.39,1008.0
2020-10-03,27.89,38.22,1008.9
2020-10-04,28.39,36.72,1008.6
2020-10-05,28.5,37.72,1008.8
2020-10-06,28.5,38.5,1008.2
2020-10-07,27.78,38.0,1007.7
2020-10-08,28.0,40.61,1008.9
2020-10-09,28.0,37.39,1009.3
2020-10-10,28.0,38.61,1009.3
2020-10-11,28.0,35.78,1009.7
2020-10-12,29.22,34.78,1009.7
2020-10-13,29.0,36.28,1008.8
2020-10-14,27.78,37.61,1008.5
2020-10-15,26.28,36.28,1009.6
2020-10-16,23.72,37.11,1010.0
2020-10-17,24.0,36.39,1009.4
2020-10-18,24.5,37.28,1009.8
2020-10-19,23.78,37.11,1010.2
2020-10-20,23.5,36.5,1010.3
2020-10-21,23.78,35.0,1009.6
2020-10-22,22.5,37.5,1011.2
2020-10-23,22.78,34.61,1010.6
2020-10-24,23.0,33.39,1010.3
2020-10-25,22.5,36.28,1011.7
2020-10-26,23.5,35.61,1012.9
2020-10-27,23.22,34.28,1013.6
2020-10-28,21.39,33.22,1013.5
2020-10-29,23.0,32.72,1013.8
2020-10-30,22.72,32.5,1014.2
2020-10-31,22.0,34.72,1014.6
2020-11-01,22.72,34.5,1015.2
2020-11-02,22.78,34.0,1016.2
2020-11-03,22.61,32.39,1017.0
2020-11-04,23.61,32.61,1016.0
