age,people,sex,year
0,1483789,1,1850
0,1450376,2,1850
5,1411067,1,1850
5,1359668,2,1850
10,1260099,1,1850
10,1216114,2,1850
15,1077133,1,1850
15,1110619,2,1850
20,1017281,1,1850
20,1003841,2,1850
25,862547,1,1850
25,799482,2,1850
30,730638,1,1850
30,639636,2,1850
35,588487,1,1850
35,505012,2,1850
40,475911,1,1850
40,428185,2,1850
45,384211,1,1850
45,341254,2,1850
50,321343,1,1850
50,286580,2,1850
55,194080,1,1850
55,187208,2,1850
60,174976,1,1850
60,162236,2,1850
65,106827,1,1850
65,105534,2,1850
70,73677,1,1850
70,71762,2,1850
75,40834,1,1850
75,40229,2,1850
80,23449,1,1850
80,22949,2,1850
85,8186,1,1850
85,10511,2,1850
90,5259,1,1850
90,6569,2,1850
0,2120846,1,1860
0,2092162,2,1860
5,1804467,1,1860
5,1778772,2,1860
10,1612640,1,1860
10,1540350,2,1860
15,1438094,1,1860
15,1495999,2,1860
20,1351121,1,1860
20,1370462,2,1860
25,1217615,1,1860
25,1116373,2,1860
30,1043174,1,1860
30,936055,2,1860
35,866910,1,1860
35,737136,2,1860
40,699434,1,1860
40,616826,2,1860
45,552404,1,1860
45,461739,2,1860
50,456176,1,1860
50,407305,2,1860
55,292417,1,1860
55,267224,2,1860
60,260887,1,1860
60,249735,2,1860
65,149331,1,1860
65,141405,2,1860
70,98465,1,1860
70,101778,2,1860
75,56699,1,1860
75,57597,2,1860
80,29007,1,1860
80,29506,2,1860
85,10434,1,1860
85,14053,2,1860
90,7232,1,1860
90,6622,2,1860
0,2800083,1,1870
0,2717102,2,1870
5,2428469,1,1870
5,2393680,2,1870
10,2427341,1,1870
10,2342670,2,1870
15,1958390,1,1870
15,2077248,2,1870
20,1805303,1,1870
20,1909382,2,1870
25,1509059,1,1870
25,1574285,2,1870
30,1251534,1,1870
30,1275629,2,1870
35,1185336,1,1870
35,1137490,2,1870
40,968861,1,1870
40,944401,2,1870
45,852672,1,1870
45,747916,2,1870
50,736387,1,1870
50,637801,2,1870
55,486036,1,1870
55,407819,2,1870
60,399264,1,1870
60,374801,2,1870
65,260829,1,1870
65,239080,2,1870
70,173364,1,1870
70,165501,2,1870
75,86929,1,1870
75,89540,2,1870
80,47427,1,1870
80,54190,2,1870
85,15891,1,1870
85,19302,2,1870
90,8649,1,1870
90,13068,2,1870
0,3533662,1,1880
0,3421597,2,1880
5,3297503,1,1880
5,3179142,2,1880
10,2911924,1,1880
10,2813550,2,1880
15,2457734,1,1880
15,2527818,2,1880
20,2547780,1,1880
20,2512803,2,1880
25,2119393,1,1880
25,1974241,2,1880
30,1749107,1,1880
30,1596772,2,1880
35,1540772,1,1880
35,1483717,2,1880
40,1237347,1,1880
40,1239435,2,1880
45,1065973,1,1880
45,1003711,2,1880
50,964484,1,1880
50,863012,2,1880
55,679147,1,1880
55,594843,2,1880
60,580298,1,1880
60,526956,2,1880
65,369398,1,1880
65,346303,2,1880
70,255422,1,1880
70,251860,2,1880
75,141628,1,1880
75,143513,2,1880
80,67526,1,1880
80,77290,2,1880
85,22437,1,1880
85,31227,2,1880
90,10272,1,1880
90,15451,2,1880
0,4619544,1,1900
0,4589196,2,1900
